nid,title,day,starts_pst,ends_pst,duration,type,level,track,categories,speakers,companies,description,searchable_text,url
19443,Architecting Data Warehouses for Large-Scale Deployments,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This advanced, half-day course covers how to architect Databricks SQL environments for enterprise scale — supporting hundreds or thousands of users across multiple business units. Participants will learn about designing scalable data ingestion pipelines with Lakeflow, planning multi-workspace and Unity Catalog strategies, implementing fine-grained security using row filters, column masks, and ABAC policies, and deploy solutions using Declarative Automation Bundles and GitOps. The course includes hands-on labs and demos. Prerequisites Working knowledge of Databricks SQL (SQL Editor, warehouses, dashboards, query profiles) Unity Catalog fundamentals (three-level namespace, privileges, managed vs. external tables) Delta Lake essentials (ACID, time travel, OPTIMIZE, VACUUM) Cloud infrastructure concepts: Cloud storage, Networking, IAM, and Infrastructure-as-Code basics Data warehousing concepts (medallion architecture, ETL/ELT, star schemas, multi-environment strategies) Databricks workspace administration experience (users, groups, service principals, SSO) Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026.","Architecting Data Warehouses for Large-Scale Deployments This advanced, half-day course covers how to architect Databricks SQL environments for enterprise scale — supporting hundreds or thousands of users across multiple business units. Participants will learn about designing scalable data ingestion pipelines with Lakeflow, planning multi-workspace and Unity Catalog strategies, implementing fine-grained security using row filters, column masks, and ABAC policies, and deploy solutions using Declarative Automation Bundles and GitOps. The course includes hands-on labs and demos. Prerequisites Working knowledge of Databricks SQL (SQL Editor, warehouses, dashboards, query profiles) Unity Catalog fundamentals (three-level namespace, privileges, managed vs. external tables) Delta Lake essentials (ACID, time travel, OPTIMIZE, VACUUM) Cloud infrastructure concepts: Cloud storage, Networking, IAM, and Infrastructure-as-Code basics Data warehousing concepts (medallion architecture, ETL/ELT, star schemas, multi-environment strategies) Databricks workspace administration experience (users, groups, service principals, SSO) Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/architecting-data-warehouses-large-scale-deployments
17800,Integrating Lakebase Databases into Intelligent Applications,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course teaches Databricks application developers how to use Lakebase as the operational database for intelligent, data-driven applications on Databricks. Learners explore how Lakebase enables applications powered by analytics, BI, and AI. Through guided exercises, the course covers Lakebase core concepts and architecture, provisioning and managing database instances, connecting from Databricks SQL, notebooks, and external clients, and applying best practices for connection management, permissions, and environment configuration. By the end of the course, developers will be able to confidently integrate Lakebase into production-ready data and AI applications, safely manage database resources, and unlock unified analytics and AI on live operational data. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including workspaces and notebooks Intermediate SQL proficiency, including SELECT, INSERT, UPDATE, and DELETE statements Intermediate Python programming experience, including functions, exceptions, and working with dictionaries and lists Familiarity with OLTP fundamentals, including client-server relationships, ACID properties, database authentication, and concurrent access","Integrating Lakebase Databases into Intelligent Applications This hands-on course teaches Databricks application developers how to use Lakebase as the operational database for intelligent, data-driven applications on Databricks. Learners explore how Lakebase enables applications powered by analytics, BI, and AI. Through guided exercises, the course covers Lakebase core concepts and architecture, provisioning and managing database instances, connecting from Databricks SQL, notebooks, and external clients, and applying best practices for connection management, permissions, and environment configuration. By the end of the course, developers will be able to confidently integrate Lakebase into production-ready data and AI applications, safely manage database resources, and unlock unified analytics and AI on live operational data. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including workspaces and notebooks Intermediate SQL proficiency, including SELECT, INSERT, UPDATE, and DELETE statements Intermediate Python programming experience, including functions, exceptions, and working with dictionaries and lists Familiarity with OLTP fundamentals, including client-server relationships, ACID properties, database authentication, and concurrent access Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/integrating-lakebase-databases-intelligent-applications
17791,Deploying and Monitoring Agents on Databricks,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course guides you through deploying and monitoring agentic AI systems in the Databricks environment. You will start by learning how to deploy agents in batch mode using AI Functions and integrate them into data pipelines. Next, you'll explore real-time deployment using Model Serving, including deploying agents as REST endpoints and managing autoscaling, versioning, and governance via Mosaic AI Model Serving. You'll then turn to observability and monitoring, using MLflow tracing and scoring functions to capture metrics, analyze requests and responses, and detect anomalies in production. Finally, you'll learn best practices for deploying agents with built-in trace collection, inference logging, and feedback loops to support ongoing evaluation and robustness. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including Unity Catalog and Delta Lake Intermediate Python programming experience Familiarity with Generative AI fundamentals, including LLMs, RAG architectures, and prompt engineering Familiarity with Databricks Asset Bundles (DABs) Basic SQL proficiency, including use of functions like ai_query Basic understanding of MLOps/LLMOps principles and software deployment concepts, including CI/CD pipelines, REST APIs, and YAML configuration","Deploying and Monitoring Agents on Databricks This hands-on course guides you through deploying and monitoring agentic AI systems in the Databricks environment. You will start by learning how to deploy agents in batch mode using AI Functions and integrate them into data pipelines. Next, you'll explore real-time deployment using Model Serving, including deploying agents as REST endpoints and managing autoscaling, versioning, and governance via Mosaic AI Model Serving. You'll then turn to observability and monitoring, using MLflow tracing and scoring functions to capture metrics, analyze requests and responses, and detect anomalies in production. Finally, you'll learn best practices for deploying agents with built-in trace collection, inference logging, and feedback loops to support ongoing evaluation and robustness. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including Unity Catalog and Delta Lake Intermediate Python programming experience Familiarity with Generative AI fundamentals, including LLMs, RAG architectures, and prompt engineering Familiarity with Databricks Asset Bundles (DABs) Basic SQL proficiency, including use of functions like ai_query Basic understanding of MLOps/LLMOps principles and software deployment concepts, including CI/CD pipelines, REST APIs, and YAML configuration Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/deploying-and-monitoring-agents-databricks
19442,Building Semantic Models with UC Metric views,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"In this hands-on course, you’ll learn how to empower your data consumers to get validated business insights with less burden on you and the rest of your enterprise's data and AI team. Through building a semantic layer on top of your gold layer, you'll offer decision makers and business analysts the opportunity to explore key business performance indicators in novel ways, while still maintaining efficient data operations and enterprise-vetted metrics. Prerequisites Proficiency in Databricks SQL Understanding of Databricks data modeling concepts Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026.","Building Semantic Models with UC Metric views In this hands-on course, you’ll learn how to empower your data consumers to get validated business insights with less burden on you and the rest of your enterprise's data and AI team. Through building a semantic layer on top of your gold layer, you'll offer decision makers and business analysts the opportunity to explore key business performance indicators in novel ways, while still maintaining efficient data operations and enterprise-vetted metrics. Prerequisites Proficiency in Databricks SQL Understanding of Databricks data modeling concepts Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/building-semantic-models-uc-metric-views
17797,Building Agentic Applications on Databricks,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course introduces how to build single-agent, multi-agent, and multi-model systems on Agent Bricks, including key components, architectures, and use cases. You'll learn how to create agent tools using Unity Catalog functions to extend agent capabilities. You'll begin by using Genie to build agents that can interact with structured data, before extending these concepts to create a second agent designed for working with unstructured data and external resources. Finally, you'll explore how Agent Bricks provides a declarative approach to building multi-agent applications, offering a streamlined alternative to manual development. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including workspaces and notebooks Intermediate Python and SQL proficiency Familiarity with Generative AI fundamentals, including LLMs and prompting strategies Familiarity with Retrieval Augmented Generation (RAG) architecture Familiarity with API usage and function calling for LLM interactions with external tools and services","Building Agentic Applications on Databricks This hands-on course introduces how to build single-agent, multi-agent, and multi-model systems on Agent Bricks, including key components, architectures, and use cases. You'll learn how to create agent tools using Unity Catalog functions to extend agent capabilities. You'll begin by using Genie to build agents that can interact with structured data, before extending these concepts to create a second agent designed for working with unstructured data and external resources. Finally, you'll explore how Agent Bricks provides a declarative approach to building multi-agent applications, offering a streamlined alternative to manual development. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including workspaces and notebooks Intermediate Python and SQL proficiency Familiarity with Generative AI fundamentals, including LLMs and prompting strategies Familiarity with Retrieval Augmented Generation (RAG) architecture Familiarity with API usage and function calling for LLM interactions with external tools and services Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/building-agentic-applications-databricks
19446,Vibe Coding on Databricks,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course introduces Databricks Apps, a feature that empowers developers to build and deploy secure data and AI applications directly on the Databricks platform. It is designed for data scientists, data engineers, and developers who want to rapidly create and deliver applications that make data insights accessible to non-technical users across their organizations. The course begins with an overview of the core components, architecture, and constraints of Databricks Apps, along with common use cases and how they compare to traditional web app deployment. You will deploy a simple app using built-in templates, then iteratively enhance it—both through structured development workflows and emerging “vibe coding” techniques—to quickly prototype and refine functionality. You will build and deploy a data-driven application that integrates with key platform features, including SQL warehouses and AI model serving endpoints. You will also learn how to develop and manage apps using both UI-based workflows and a local IDE, applying best practices for configuration, authentication, and environment management. The course concludes with a focus on enterprise readiness, including observability, error handling, security architecture, and governance, where you will implement logging, troubleshoot real-world issues, and apply best practices for permissions, auditing, and secure application design.Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026.","Vibe Coding on Databricks This hands-on course introduces Databricks Apps, a feature that empowers developers to build and deploy secure data and AI applications directly on the Databricks platform. It is designed for data scientists, data engineers, and developers who want to rapidly create and deliver applications that make data insights accessible to non-technical users across their organizations. The course begins with an overview of the core components, architecture, and constraints of Databricks Apps, along with common use cases and how they compare to traditional web app deployment. You will deploy a simple app using built-in templates, then iteratively enhance it—both through structured development workflows and emerging “vibe coding” techniques—to quickly prototype and refine functionality. You will build and deploy a data-driven application that integrates with key platform features, including SQL warehouses and AI model serving endpoints. You will also learn how to develop and manage apps using both UI-based workflows and a local IDE, applying best practices for configuration, authentication, and environment management. The course concludes with a focus on enterprise readiness, including observability, error handling, security architecture, and governance, where you will implement logging, troubleshoot real-world issues, and apply best practices for permissions, auditing, and secure application design.Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/vibe-coding-databricks
17799,Building RAG Agents with Agent Bricks,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course teaches you how to build retrieval-augmented generation (RAG) agents on Databricks using Agent Bricks’ tooling—including Vector Search, AI Playground, and the Foundation Model APIs. First, you'll begin with prompt engineering and the fundamentals of retrieval and augmented generation. Next, you'll learn how to ingest, process, and prepare documents for use in a retrieval pipeline. Then you'll explore embedding vectors, vector database design, and how to use Vector Search in a Databricks environment. Finally, you will build a retrieval agent end-to-end and trace its behavior using MLflow Tracing for observability and debugging. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including Unity Catalog Intermediate Python programming experience Basic SQL proficiency for querying and creating functions Familiarity with Generative AI fundamentals, including large language models (LLMs) and prompt engineering Basic knowledge of MLflow","Building RAG Agents with Agent Bricks This hands-on course teaches you how to build retrieval-augmented generation (RAG) agents on Databricks using Agent Bricks’ tooling—including Vector Search, AI Playground, and the Foundation Model APIs. First, you'll begin with prompt engineering and the fundamentals of retrieval and augmented generation. Next, you'll learn how to ingest, process, and prepare documents for use in a retrieval pipeline. Then you'll explore embedding vectors, vector database design, and how to use Vector Search in a Databricks environment. Finally, you will build a retrieval agent end-to-end and trace its behavior using MLflow Tracing for observability and debugging. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including Unity Catalog Intermediate Python programming experience Basic SQL proficiency for querying and creating functions Familiarity with Generative AI fundamentals, including large language models (LLMs) and prompt engineering Basic knowledge of MLflow Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/building-rag-agents-agent-bricks
17789,Agent Evaluations,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course introduces learners to evaluating, governing, and securing agentic AI systems on Databricks. You'll begin by exploring the motivation for evaluation and governance frameworks and how they connect to the Databricks Data Intelligence Platform. Next, you'll learn how to apply MLflow evaluation metrics and a variety of evaluation techniques, including online evaluation, synthetic evaluation, and building evaluation datasets from MLflow traces. The course then examines how Unity Catalog governance extends to agents' functions, models, and tools, ensuring proper access control, auditability, and compliance. Finally, you'll learn Databricks AI Security Framework (DASF) and how to secure agents with Mosaic AI Gateway, applying guardrails, rate limits, and policy filters to enforce safe and reliable usage. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including Unity Catalog for governance and model management Intermediate Python programming experience Familiarity with Generative AI fundamentals, including RAG architectures and their components (chunking, embeddings, vector stores) Basic knowledge of MLflow for experiment tracking and model lifecycle management General awareness of data governance principles, including access control, data lineage, and data privacy","Agent Evaluations This hands-on course introduces learners to evaluating, governing, and securing agentic AI systems on Databricks. You'll begin by exploring the motivation for evaluation and governance frameworks and how they connect to the Databricks Data Intelligence Platform. Next, you'll learn how to apply MLflow evaluation metrics and a variety of evaluation techniques, including online evaluation, synthetic evaluation, and building evaluation datasets from MLflow traces. The course then examines how Unity Catalog governance extends to agents' functions, models, and tools, ensuring proper access control, auditability, and compliance. Finally, you'll learn Databricks AI Security Framework (DASF) and how to secure agents with Mosaic AI Gateway, applying guardrails, rate limits, and policy filters to enforce safe and reliable usage. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with the Databricks Data Intelligence Platform, including Unity Catalog for governance and model management Intermediate Python programming experience Familiarity with Generative AI fundamentals, including RAG architectures and their components (chunking, embeddings, vector stores) Basic knowledge of MLflow for experiment tracking and model lifecycle management General awareness of data governance principles, including access control, data lineage, and data privacy Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/agent-evaluations
17802,Building Enterprise Applications with Databricks Apps,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course introduces Databricks Apps, a new feature that empowers developers to build and deploy secure data and AI applications directly on the Databricks platform. It is primarily designed for data scientists, data engineers, and developers who need to create custom applications that make data insights accessible to non-technical users within their organizations. The course begins with an overview of the main components of Databricks Apps, followed by the deployment of a simple app using available templates. Next, you will learn how to build and deploy a data-driven application that integrates with other platform features. The course then covers how to set up an IDE for Databricks Apps, and how to edit and deploy an app using an IDE. It concludes with how to implement security and best practices for an enterprise app. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with core Databricks components, including workspaces, clusters, SQL warehouses, Unity Catalog, Jobs, and Model Serving","Building Enterprise Applications with Databricks Apps This hands-on course introduces Databricks Apps, a new feature that empowers developers to build and deploy secure data and AI applications directly on the Databricks platform. It is primarily designed for data scientists, data engineers, and developers who need to create custom applications that make data insights accessible to non-technical users within their organizations. The course begins with an overview of the main components of Databricks Apps, followed by the deployment of a simple app using available templates. Next, you will learn how to build and deploy a data-driven application that integrates with other platform features. The course then covers how to set up an IDE for Databricks Apps, and how to edit and deploy an app using an IDE. It concludes with how to implement security and best practices for an enterprise app. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Familiarity with core Databricks components, including workspaces, clusters, SQL warehouses, Unity Catalog, Jobs, and Model Serving Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/building-enterprise-applications-databricks-apps
17796,Developing BI Dashboards with AI/BI,Sunday,2026-06-14 08:00:00,2026-06-14 12:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"In this hands-on course, you’ll learn how to use the features Databricks provides for business intelligence needs: AI/BI Dashboards and AI/BI Genie. As a Databricks Data Analyst, you will be tasked with creating AI/BI Dashboards and AI/BI Genie Spaces within the platform, managing the access to these assets by stakeholders and necessary parties, and maintaining these assets as they are edited, refreshed, or decommissioned over the course of their lifespan. This course intends to instruct participants on how to design dashboards for business insights, share those with collaborators and stakeholders, and maintain those assets within the platform. Participants will also learn how to utilize AI/BI Genie Spaces to support self-service analytics through the creation and maintenance of these environments powered by the Databricks Data Intelligence Platform. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Basic SQL proficiency for querying data in Databricks Basic familiarity with the Databricks Workspace UI Basic understanding of statistical analysis and data interpretation Familiarity with dashboards and business intelligence concepts","Developing BI Dashboards with AI/BI In this hands-on course, you’ll learn how to use the features Databricks provides for business intelligence needs: AI/BI Dashboards and AI/BI Genie. As a Databricks Data Analyst, you will be tasked with creating AI/BI Dashboards and AI/BI Genie Spaces within the platform, managing the access to these assets by stakeholders and necessary parties, and maintaining these assets as they are edited, refreshed, or decommissioned over the course of their lifespan. This course intends to instruct participants on how to design dashboards for business insights, share those with collaborators and stakeholders, and maintain those assets within the platform. Participants will also learn how to utilize AI/BI Genie Spaces to support self-service analytics through the creation and maintenance of these environments powered by the Databricks Data Intelligence Platform. Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Prerequisites Basic SQL proficiency for querying data in Databricks Basic familiarity with the Databricks Workspace UI Basic understanding of statistical analysis and data interpretation Familiarity with dashboards and business intelligence concepts Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/developing-bi-dashboards-aibi
19447,Building Reliable Conversational Agents with Genie,Sunday,2026-06-14 13:00:00,2026-06-14 17:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This course teaches you how to design, build, and maintain a Databricks Genie Space, a natural language interface that enables business users to ask questions about governed data and receive SQL-backed answers without writing code. You will learn how Genie fits into the Databricks AI/BI product family and how it translates natural language into reliable SQL queries. The course focuses on what it takes to create a Genie Space that delivers accurate, consistent, and trustworthy results. You will follow a complete end-to-end workflow, from understanding source data and defining benchmarks to configuring and refining a Genie Space using the full set of Knowledge Store curation tools. These include metadata, synonyms, prompt matching, SQL logic, example queries, and text instructions. You will also learn how to share Genie Spaces through Databricks One, understand how Unity Catalog governance is automatically enforced, and use monitoring and user feedback to continuously improve quality over time. By the end of the course, you will be able to create and manage a production-ready Genie Space that delivers governed, self-service conversational analytics at scale. Prerequisites General familiarity with the Databricks workspace - You can navigate the workspace UI, attach compute resources, and run notebooks. Familiarity with Unity Catalog concepts - You understand catalogs, schemas, and tables in Unity Catalog. Prior experience with permissions, tags, or column masks is helpful but not required. Intermediate SQL proficiency - You can read and write SQL queries including SELECT, JOIN, GROUP BY, and aggregate functions. Access to a Databricks workspace with the Databricks SQL entitlement and CAN USE permission on a serverless SQL warehouse.Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026.","Building Reliable Conversational Agents with Genie This course teaches you how to design, build, and maintain a Databricks Genie Space, a natural language interface that enables business users to ask questions about governed data and receive SQL-backed answers without writing code. You will learn how Genie fits into the Databricks AI/BI product family and how it translates natural language into reliable SQL queries. The course focuses on what it takes to create a Genie Space that delivers accurate, consistent, and trustworthy results. You will follow a complete end-to-end workflow, from understanding source data and defining benchmarks to configuring and refining a Genie Space using the full set of Knowledge Store curation tools. These include metadata, synonyms, prompt matching, SQL logic, example queries, and text instructions. You will also learn how to share Genie Spaces through Databricks One, understand how Unity Catalog governance is automatically enforced, and use monitoring and user feedback to continuously improve quality over time. By the end of the course, you will be able to create and manage a production-ready Genie Space that delivers governed, self-service conversational analytics at scale. Prerequisites General familiarity with the Databricks workspace - You can navigate the workspace UI, attach compute resources, and run notebooks. Familiarity with Unity Catalog concepts - You understand catalogs, schemas, and tables in Unity Catalog. Prior experience with permissions, tags, or column masks is helpful but not required. Intermediate SQL proficiency - You can read and write SQL queries including SELECT, JOIN, GROUP BY, and aggregate functions. Access to a Databricks workspace with the Databricks SQL entitlement and CAN USE permission on a serverless SQL warehouse.Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/building-reliable-conversational-agents-genie
19444,Designing Data Models and Architectures,Sunday,2026-06-14 13:00:00,2026-06-14 17:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This practitioner-focused course is a deep dive into designing data models within the Databricks Lakehouse. The course explores three leading data warehousing approaches — Inmon's Corporate Information Factory, Kimball's dimensional modeling, and Data Vault 2.0 — and shows how each maps to the medallion architecture. Participants will also learn how to extend these foundations to modern use cases such as data products for scalable, governed data sharing across domains. Prerequisites Working knowledge of SQL Conceptual understanding of relational databases Completion of an introductory Databricks or Lakehouse Fundamentals course Optional: prior exposure to Python and PySpark Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026.","Designing Data Models and Architectures This practitioner-focused course is a deep dive into designing data models within the Databricks Lakehouse. The course explores three leading data warehousing approaches — Inmon's Corporate Information Factory, Kimball's dimensional modeling, and Data Vault 2.0 — and shows how each maps to the medallion architecture. Participants will also learn how to extend these foundations to modern use cases such as data products for scalable, governed data sharing across domains. Prerequisites Working knowledge of SQL Conceptual understanding of relational databases Completion of an introductory Databricks or Lakehouse Fundamentals course Optional: prior exposure to Python and PySpark Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/designing-data-models-and-architectures
19445,Buliding ETL Pipelines with SQL,Sunday,2026-06-14 13:00:00,2026-06-14 17:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course teaches you how to build production-ready ETL pipelines using pure SQL on the Databricks Data Intelligence Platform. You'll learn the declarative building blocks — Streaming Tables, Materialized Views, and AUTO CDC — that replace complex procedural ingestion and transformation logic with concise, incremental, and fully managed pipeline definitions. Following a realistic retail dataset through the medallion architecture, you'll incrementally ingest files with Auto Loader, build pre-computed Silver-to-Gold transformations with incremental refresh, manage SCD Type 1 and Type 2 dimensions with AUTO CDC, and orchestrate the full pipeline using Lakeflow Jobs with SQL File tasks and DAG-based workflows. Prerequisites Navigating the Databricks workspace — sidebar, Catalog Explorer, and SQL Editor Unity Catalog basics — catalogs, schemas, tables, and volumes Intermediate SQL — SELECT, JOIN, GROUP BY, CAST, COALESCE, CREATE TABLE, and INSERT Data warehousing concepts — fact tables, dimension tables, star schemas, and the medallion architecture Basic understanding of ETL — Extract, Transform, Load workflows and why incremental processing matters Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026.","Buliding ETL Pipelines with SQL This hands-on course teaches you how to build production-ready ETL pipelines using pure SQL on the Databricks Data Intelligence Platform. You'll learn the declarative building blocks — Streaming Tables, Materialized Views, and AUTO CDC — that replace complex procedural ingestion and transformation logic with concise, incremental, and fully managed pipeline definitions. Following a realistic retail dataset through the medallion architecture, you'll incrementally ingest files with Auto Loader, build pre-computed Silver-to-Gold transformations with incremental refresh, manage SCD Type 1 and Type 2 dimensions with AUTO CDC, and orchestrate the full pipeline using Lakeflow Jobs with SQL File tasks and DAG-based workflows. Prerequisites Navigating the Databricks workspace — sidebar, Catalog Explorer, and SQL Editor Unity Catalog basics — catalogs, schemas, tables, and volumes Intermediate SQL — SELECT, JOIN, GROUP BY, CAST, COALESCE, CREATE TABLE, and INSERT Data warehousing concepts — fact tables, dimension tables, star schemas, and the medallion architecture Basic understanding of ETL — Extract, Transform, Load workflows and why incremental processing matters Note: Hands-on training courses will be updated to reflect the newest product and feature announcements from Data + AI Summit in June 2026. Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/buliding-etl-pipelines-sql
19450,Implementing Data Governance with Unity Catalog,Sunday,2026-06-14 13:00:00,2026-06-14 17:00:00,240,Paid Training,,Paid Training,Paid Training | Paid Training | In Person,,,"This hands-on course provides a comprehensive foundation for managing governed data environments using Unity Catalog. It is designed for data engineers, platform administrators, and analytics engineers responsible for organizing, securing, and operationalizing data at scale across modern Lakehouse architectures.The course begins with an overview of Unity Catalog’s role within a cloud deployment, including how it integrates with account-level architecture and administrative responsibilities. You will explore how metastores are created and configured, how workspaces are attached, and how governance boundaries are established across environments. Through guided exercises, you will learn how data is logically and physically organized, including the use of object storage, managed and external locations, and secure access patterns for underlying storage systems.As the course progresses, you will design and implement effective data organization strategies using catalogs and schemas, translating business structures such as business units, regions, and environments into scalable naming conventions and governance models. You will apply fine-grained access control using Unity Catalog’s permission model, including ownership, management privileges, and inherited access patterns, enabling secure, least-privilege data access across teams.The course also introduces foundational interoperability concepts through Lakehouse Federation, enabling access to external data systems while maintaining centralized governance. You will explore how to bring existing data into Unity Catalog, configure secure access to external locations, and manage permissions consistently across internal and external data sources.The course concludes with practical implementation workflows, where you will create and manage catalogs, schemas, and permissions using both the UI and SQL interfaces. You will troubleshoot common configuration challenges, apply governance best practices, and establish patterns for isolating development, testing, and production environments.By the end of the course, you will be able to design, implement, and manage a secure, well-organized data governance framework using Unity Catalog, ensuring scalable access control, clear data ownership, and consistent data organization across your Lakehouse.","Implementing Data Governance with Unity Catalog This hands-on course provides a comprehensive foundation for managing governed data environments using Unity Catalog. It is designed for data engineers, platform administrators, and analytics engineers responsible for organizing, securing, and operationalizing data at scale across modern Lakehouse architectures.The course begins with an overview of Unity Catalog’s role within a cloud deployment, including how it integrates with account-level architecture and administrative responsibilities. You will explore how metastores are created and configured, how workspaces are attached, and how governance boundaries are established across environments. Through guided exercises, you will learn how data is logically and physically organized, including the use of object storage, managed and external locations, and secure access patterns for underlying storage systems.As the course progresses, you will design and implement effective data organization strategies using catalogs and schemas, translating business structures such as business units, regions, and environments into scalable naming conventions and governance models. You will apply fine-grained access control using Unity Catalog’s permission model, including ownership, management privileges, and inherited access patterns, enabling secure, least-privilege data access across teams.The course also introduces foundational interoperability concepts through Lakehouse Federation, enabling access to external data systems while maintaining centralized governance. You will explore how to bring existing data into Unity Catalog, configure secure access to external locations, and manage permissions consistently across internal and external data sources.The course concludes with practical implementation workflows, where you will create and manage catalogs, schemas, and permissions using both the UI and SQL interfaces. You will troubleshoot common configuration challenges, apply governance best practices, and establish patterns for isolating development, testing, and production environments.By the end of the course, you will be able to design, implement, and manage a secure, well-organized data governance framework using Unity Catalog, ensuring scalable access control, clear data ownership, and consistent data organization across your Lakehouse. Paid Training | Paid Training | In Person  ",https://www.databricks.com/dataaisummit/session/implementing-data-governance-unity-catalog-0
